id,StartUhrZeit,EndUhrzeit,Prozess,Betreff
1,2024-08-07 01:57:46,2024-08-07 02:44:46,Prozess_C,Aufgabe_Z
2,2024-07-19 02:08:46,2024-07-19 04:00:46,Prozess_E,Aufgabe_Z
3,2024-07-12 07:15:46,2024-07-12 08:35:46,Prozess_E,Aufgabe_W
4,2024-07-20 21:14:46,2024-07-20 23:05:46,Prozess_B,Aufgabe_V
5,2024-07-12 22:45:46,2024-07-13 00:00:46,Prozess_E,Aufgabe_W
6,2024-08-04 07:28:46,2024-08-04 08:03:46,Prozess_E,Aufgabe_V
7,2024-07-31 12:51:46,2024-07-31 12:54:46,Prozess_B,Aufgabe_X
8,2024-08-09 00:06:46,2024-08-09 01:35:46,Prozess_D,Aufgabe_Z
9,2024-07-20 14:42:46,2024-07-20 15:45:46,Prozess_B,Aufgabe_X
10,2024-07-31 07:15:46,2024-07-31 08:49:46,Prozess_D,Aufgabe_V
11,2024-07-28 15:03:46,2024-07-28 16:50:46,Prozess_D,Aufgabe_Z
12,2024-07-16 16:51:46,2024-07-16 16:53:46,Prozess_D,Aufgabe_X
13,2024-07-29 22:41:46,2024-07-30 00:12:46,Prozess_D,Aufgabe_W
14,2024-08-07 10:02:46,2024-08-07 11:04:46,Prozess_A,Aufgabe_W
15,2024-08-05 13:57:46,2024-08-05 15:26:46,Prozess_E,Aufgabe_V
16,2024-07-22 04:36:46,2024-07-22 04:49:46,Prozess_A,Aufgabe_X
17,2024-07-11 20:28:46,2024-07-11 21:19:46,Prozess_D,Aufgabe_Y
18,2024-07-18 11:02:46,2024-07-18 12:18:46,Prozess_B,Aufgabe_Z
19,2024-07-28 07:09:46,2024-07-28 08:46:46,Prozess_B,Aufgabe_V
20,2024-07-15 18:30:46,2024-07-15 19:28:46,Prozess_E,Aufgabe_V
21,2024-07-24 17:57:46,2024-07-24 18:36:46,Prozess_D,Aufgabe_X
22,2024-07-28 04:47:46,2024-07-28 06:14:46,Prozess_D,Aufgabe_Z
